Страна;Регион;Исчезнувшая;Объединение;Комментарий
Австралия;Австралия и Океания;;;
Австрия;Европа;;;
Азербайджан;Азия;;;
Аланды;Европа;;;Особый автономный регион Финляндии в Балтийском море
Албания;Европа;;;
Алжир;Африка;;;
Американские Виргинские Острова;Америка;;;Неинкорпорированная территория США в Карибском бассейне
Американское Самоа;Австралия и Океания;;;Неинкорпорированная территория США в Тихом океане
Ангилья;Америка;;;Заморская территория Великобритании в Карибском бассейне
Ангола;Африка;;;
Андорра;Европа;;;
Антарктида;Антарктида;;;Особая территория, не принадлежащая ни одному государству
Антигуа и Барбуда;Америка;;;
Аргентина;Америка;;;
Армения;Азия;;;
Аруба;Америка;;;Автономная территория Королевства Нидерландов в Карибском бассейне
Афганистан;Азия;;;
Багамы;Америка;;;
Бангладеш;Азия;;;
Барбадос;Америка;;;
Бахрейн;Азия;;;
Беларусь;Европа;;;
Белиз;Америка;;;
Бельгия;Европа;;;
Бермудские Острова;Америка;;;Заморская территория Великобритании в Северной Атлантике
Болгария;Европа;;;
Боливия;Америка;;;
Бенин;Африка;;;
Босния и Герцеговина;Европа;;;
Ботсвана;Африка;;;
Бразилия;Америка;;;
Британская Вест-Индия;Америка;+;;Бывшая колония Великобритании в Карибском бассейне, территория современных государств: Антигуа и Барбуда, Багамы, Барбадос, Белиз, Гайана, Гренада, Доминика, Сент-Винсент и Гренадины, Сент-Китс и Невис, Сент-Люсия, Тринидад и Тобаго, Ямайка
Британская Восточная Африка;Африка;+;;Бывшая колония Великобритании в Африке, территория современной Кении
Британская Западная Африка;Африка;+;;Бывшая колония Великобритании в Африке, территория современных государств: Гамбия, Гана, Нигерия, Сьерра-Леоне
Британская Палестина;Азия;+;;Бывшая мандатная территория Великобритании, территория современных государств: Израиль, Иордания, Палестина
Британская территория в Индийском океане;Азия;;;
Британские Виргинские острова;Америка;;;Заморская территория Великобритании в Карибском бассейне
Британский Гондурас;Америка;+;;Бывшая колония Великобритании в Карибском бассейне, территория современного Белиза
Бруней;Азия;;;
Буркина-Фасо;Африка;;;
Бурунди;Африка;;;
Бутан;Азия;;;
Вануату;Австралия и Океания;;;
Ватикан;Европа;;;
Великобритания;Европа;;;
Венгрия;Европа;;;
Венесуэла;Америка;;;
Восточные Карибы;Америка;;+;Единый эмитент валюты для восьми государств Карибского бассейна: Ангилья, Антигуа и Барбуда, Доминика, Гренада, Монтсеррат, Сент-Китс и Невис, Сент-Люсия, Сент-Винсент и Гренадины
Восточный Тимор;Азия;;;
Вьетнам;Азия;;;
Габон;Африка;;;
Гаити;Америка;;;
Гайана;Америка;;;
Гамбия;Африка;;;
Гана;Африка;;;
Гваделупа;Америка;;;Заморский департамент Франции в Карибском бассейне
Гватемала;Америка;;;
Гвинея;Африка;;;
Гвинея-Бисау;Африка;;;
Германия;Европа;;;
Гернси;Европа;;;Коронное владение Великобритании в проливе Ла-Манш
Гибралтар;Европа;;;Заморская территория Великобритании на юге Пиренейского полуострова
Голландская Ост-Индия;Азия;+;;Бывшая колония Нидерландов на островах Малайского архипелага, территория современной Индонезии
Гондурас;Америка;;;
Гонконг;Азия;;;Специальный административный район Китая
Гренада;Америка;;;
Гренландия;Америка;;;Автономная территория Датского королевства
Греция;Европа;;;
Грузия;Азия;;;
Гуам;Австралия и Океания;;;Неинкорпорированная территория США в Тихом океане
Дания;Европа;;;
ДР Конго;Африка;;;
Джерси;Европа;;;Коронное владение Великобритании в проливе Ла-Манш
Джибути;Африка;;;
Доминика;Америка;;;
Доминикана;Америка;;;
Египет;Африка;;;
Замбия;Африка;;;
Западная Африка;Африка;;+;Единый эмитент валюты для восьми государств Западной Африки: Бенин, Буркина-Фасо, Гвинея-Бисау, Кот-д’Ивуар, Мали, Нигер, Сенегал, Того
Западная Сахара;Африка;;;
Зимбабве;Африка;;;
Израиль;Азия;;;
Индия;Азия;;;
Индонезия;Азия;;;
Иордания;Азия;;;
Ирак;Азия;;;
Иран;Азия;;;
Ирландия;Европа;;;
Исландия;Европа;;;
Испания;Европа;;;
Италия;Европа;;;
Йемен;Азия;;;
Кабо-Верде;Африка;;;
Казахстан;Азия;;;
Каймановы острова;Америка;;;Заморская территория Великобритании в Карибском бассейне
Камбоджа;Азия;;;
Камерун;Африка;;;
Канада;Америка;;;
Катар;Азия;;;
Кения;Африка;;;
Кипр;Азия;;;
Кирибати;Австралия и Океания;;;
Китай;Азия;;;
КНДР;Азия;;;
Кокосовые острова;Азия;;;Внешняя территория Австралии в Индийском океане
Колумбия;Америка;;;
Коморы;Африка;;;
Косово;Европа;;;
Коста-Рика;Америка;;;
Кот-д’Ивуар;Африка;;;
Куба;Америка;;;
Кувейт;Азия;;;
Кыргызстан;Азия;;;
Кюрасао;Америка;;;Автономная территория Королевства Нидерландов в Карибском бассейне
Лаос;Азия;;;
Латвия;Европа;;;
Лесото;Африка;;;
Либерия;Африка;;;
Ливан;Азия;;;
Ливия;Африка;;;
Литва;Европа;;;
Лихтенштейн;Европа;;;
Люксембург;Европа;;;
Маврикий;Африка;;;
Мавритания;Африка;;;
Мадагаскар;Африка;;;
Майотта;Африка;;;Заморский департамент Франции в Индийском океане
Макао;Азия;;;Специальный административный район Китая
Малави;Африка;;;
Малайзия;Азия;;;
Малайя;Азия;+;;Бывшая колония Великобритании на полуострове Малакка, территория современной Малайзии
Малайя и Британское Борнео;Азия;+;+;Бывший единый эмитент валюты для пяти государств Юго-Восточной Азии: Малайя, Сингапур, Саравак, Северное Борнео, Бруней
Мали;Африка;;;
Мальдивы;Азия;;;
Мальта;Европа;;;
Марокко;Африка;;;
Мартиника;Америка;;;Заморский департамент Франции в Карибском бассейне
Маршалловы Острова;Австралия и Океания;;;
Мексика;Америка;;;
Мозамбик;Африка;;;
Молдова;Европа;;;
Монако;Европа;;;
Монголия;Азия;;;
Монтсеррат;Америка;;;Заморская территория Великобритании в Карибском бассейне
Мьянма;Азия;;;
Намибия;Африка;;;
Науру;Австралия и Океания;;;
Непал;Азия;;;
Нигер;Африка;;;
Нигерия;Африка;;;
Нидерланды;Европа;;;
Никарагуа;Америка;;;
Ниуэ;Австралия и Океания;;;Самоуправляемое государственное образование в свободной ассоциации с Новой Зеландией
Новая Зеландия;Австралия и Океания;;;
Новая Каледония;Австралия и Океания;;;Особое административно-территориальное образование Франции в Тихом океане
Норвегия;Европа;;;
ОАЭ;Азия;;;
Оман;Азия;;;
Остров Вознесения;Африка;+;;Заморская территория Великобритании в Южной Атлантике, входит в состав: Острова Святой Елены, Вознесения и Тристан-да-Кунья
Остров Мэн;Европа;;;Коронное владение Великобритании в Ирландском море
Остров Норфолк;Австралия и Океания;;;Внешняя территория Австралии в Тихом океане
Остров Рождества;Азия;;;Внешняя территория Австралии в Индийском океане
Остров Святой Елены;Африка;+;;Заморская территория Великобритании в Южной Атлантике, входит в состав: Острова Святой Елены, Вознесения и Тристан-да-Кунья
Острова Святой Елены, Вознесения и Тристан-да-Кунья;Африка;;;Заморская территория Великобритании в Южной Атлантике
Острова Кука;Австралия и Океания;;;Самоуправляемое государственное образование в свободной ассоциации с Новой Зеландией
Острова Питкэрн;Австралия и Океания;;;Заморская территория Великобритании в Тихом океане
Пакистан;Азия;;;
Палау;Австралия и Океания;;;
Палестина;Азия;;;
Панама;Америка;;;
Папуа - Новая Гвинея;Австралия и Океания;;;
Парагвай;Америка;;;
Перу;Америка;;;
Польша;Европа;;;
Португалия;Европа;;;
Пруссия;Европа;+;;Бывшее государство в Центральной и Восточной Европе, территория современных государств: Германия, Россия, Польша, Литва
Пуэрто-Рико;Америка;;;Неинкорпорированная территория США в Карибском бассейне
Республика Конго;Африка;;;
Реюньон;Африка;;;Заморский департамент Франции в Индийском океане
Родезия;Африка;+;;Бывшее государство и колония Великобритании в Южной Африке, территория современной Зимбабве
Российская империя;Европа;+;;Бывшее государство в Восточной Европе и Азии, территория современных государств: Россия, Беларусь, Украина, Польша, Финляндия, Латвия, Литва, Эстония, Грузия, Армения, Азербайджан, Казахстан, Узбекистан, Туркменистан, Кыргызстан, Таджикистан
Россия;Европа;;;
Руанда;Африка;;;
Румыния;Европа;;;
Сальвадор;Америка;;;
Самоа;Австралия и Океания;;;
Сан-Марино;Европа;;;
Сан-Томе и Принсипи;Африка;;;
Саравак;Азия;+;;Бывшее государство на острове Борнео, территория современной Малайзии
Саудовская Аравия;Азия;;;
Северная Македония;Европа;;;
Северные Марианские Острова;Австралия и Океания;;;Неинкорпорированная территория США в Тихом океане
Сейшельские Острова;Африка;;;
Сен-Бартелеми;Америка;;;Заморское сообщество Франции в Карибском бассейне
Сен-Мартен;Америка;;;Заморское сообщество Франции в Карибском бассейне
Сен-Пьер и Микелон;Америка;;;Заморское сообщество Франции в Северной Атлантике
Сенегал;Африка;;;
Сент-Винсент и Гренадины;Америка;;;
Сент-Китс и Невис;Америка;;;
Сент-Люсия;Америка;;;
Сербия;Европа;;;
Сингапур;Азия;;;
Синт-Мартен;Америка;;;Автономная территория Королевства Нидерландов в Карибском бассейне
Сирия;Азия;;;
Словакия;Европа;;;
Словения;Европа;;;
Соломоновы Острова;Австралия и Океания;;;
Сомали;Африка;;;
СССР;Европа;+;;Бывшее государство в Восточной Европе и Азии, территория современных государств: Россия, Беларусь, Украина, Молдова, Латвия, Литва, Эстония, Грузия, Армения, Азербайджан, Казахстан, Узбекистан, Туркменистан, Кыргызстан, Таджикистан
Стрейтс Сетлментс;Азия;+;;Бывшая колония Великобритании на полуострове Малакка, территория современной Малайзии
Судан;Африка;;;
Суринам;Америка;;;
США;Америка;;;
Сьерра-Леоне;Африка;;;
Таджикистан;Азия;;;
Таиланд;Азия;;;
Тайвань;Азия;;;
Танзания;Африка;;;
Теркс и Кайкос;Америка;;;Заморская территория Великобритании в Карибском бассейне
Того;Африка;;;
Токелау;Австралия и Океания;;;Зависимая территория Новой Зеландии
Тонга;Австралия и Океания;;;
Тринидад и Тобаго;Америка;;;
Тристан-да-Кунья;Африка;+;;Заморская территория Великобритании в Южной Атлантике, входит в состав: Острова Святой Елены, Вознесения и Тристан-да-Кунья
Тувалу;Австралия и Океания;;;
Тунис;Африка;;;
Туркменистан;Азия;;;
Турция;Азия;;;
Уганда;Африка;;;
Узбекистан;Азия;;;
Украина;Европа;;;
Уоллис и Футуна;Австралия и Океания;;;Заморское сообщество Франции в Тихом океане
Уругвай;Америка;;;
Фарерские острова;Европа;;;Автономная территория Датского королевства
Федеративные Штаты Микронезии;Австралия и Океания;;;
Фиджи;Австралия и Океания;;;
Филиппины;Азия;;;
Финляндия;Европа;;;
Фолклендские острова;Америка;;;Заморская территория Великобритании в Южной Атлантике
Франция;Европа;;;
Французская Гвиана;Америка;;;Заморский департамент Франции в Южной Америке
Французская Западная Африка;Африка;+;;Бывшая колония Франции в Африке, территория современных государств: Кот-д’Ивуар, Буркина-Фасо, Бенин, Мавритания, Нигер, Сенегал, Мали
Французская Океания;Австралия и Океания;+;;Бывшая колония Франции в Тихом океане, территория современной Французской Полинезии
Французская Полинезия;Австралия и Океания;;;Заморское сообщество Франции в Тихом океане
Французская Экваториальная Африка;Африка;+;;Бывшая колония Франции в Африке, территория современных государств: Габон, Республика Конго, ЦАР, Чад
Французские афар и исса;Африка;+;;Бывшая колония Франции в Африке, территория современного Джибути
Французский Индокитай;Азия;+;;Бывшая колония Франции на полуострове Индокитай, территория современных государств: Вьетнам, Камбоджа, Лаос
Французское Сомали;Африка;+;;Бывшая колония Франции в Африке, территория современного Джибути
Хорватия;Европа;;;
ЦАР;Африка;;;
Центральная Африка;Африка;;+;Единый эмитент валюты для шести государств Центральной Африки: Габон, Камерун, Республика Конго, ЦАР, Чад, Экваториальная Гвинея
Чад;Африка;;;
Черногория;Европа;;;
Чехия;Европа;;;
Чехословакия;Европа;+;;Бывшее государство в Центральной Европе, территория современных государств: Чехия, Словакия
Чили;Америка;;;
Швейцария;Европа;;;
Швеция;Европа;;;
Шпицберген;Европа;;;Территория Норвегии в Северном Ледовитом океане с особым статусом
Шри-Ланка;Азия;;;
Эквадор;Америка;;;
Экваториальная Гвинея;Африка;;;
Эритрея;Африка;;;
Эсватини;Африка;;;
Эстония;Европа;;;
Эфиопия;Африка;;;
ЮАР;Африка;;;
Югославия;Европа;+;;Бывшее государство в Южной Европе, территория современных государств: Сербия, Косово, Хорватия, Словения, Северная Македония, Черногория, Босния и Герцеговина
Южная Георгия и Южные Сандвичевы Острова;Америка;;;
Южная Корея;Азия;;;
Южный Судан;Африка;;;
Ямайка;Америка;;;
Япония;Азия;;;
