Страна;Код;Регион;Исчезнувшая;Объединение;Комментарий
Австралия;au;Австралия и Океания;;;
Австрия;at;Европа;;;
Азербайджан;az;Азия;;;
Аланды;ax;Европа;;;Особый автономный регион Финляндии в Балтийском море
Албания;al;Европа;;;
Алжир;dz;Африка;;;
Американские Виргинские Острова;vi;Америка;;;Неинкорпорированная территория США в Карибском бассейне
Американское Самоа;as;Австралия и Океания;;;Неинкорпорированная территория США в Тихом океане
Ангилья;ai;Америка;;;Заморская территория Великобритании в Карибском бассейне
Ангола;ao;Африка;;;
Андорра;ad;Европа;;;
Антарктида;aq;Антарктида;;;Особая территория, не принадлежащая ни одному государству
Антигуа и Барбуда;ag;Америка;;;
Аргентина;ar;Америка;;;
Армения;am;Азия;;;
Аруба;aw;Америка;;;Автономная территория Королевства Нидерландов в Карибском бассейне
Афганистан;af;Азия;;;
Багамы;bs;Америка;;;
Бангладеш;bd;Азия;;;
Барбадос;bb;Америка;;;
Бахрейн;bh;Азия;;;
Беларусь;by;Европа;;;
Белиз;bz;Америка;;;
Бельгия;be;Европа;;;
Бермудские Острова;bm;Америка;;;Заморская территория Великобритании в Северной Атлантике
Болгария;bg;Европа;;;
Боливия;bo;Америка;;;
Бенин;bj;Африка;;;
Босния и Герцеговина;ba;Европа;;;
Ботсвана;bw;Африка;;;
Бразилия;br;Америка;;;
Британская Вест-Индия;gb;Америка;+;;Бывшая колония Великобритании в Карибском бассейне, территория современных государств: Антигуа и Барбуда, Багамы, Барбадос, Белиз, Гайана, Гренада, Доминика, Сент-Винсент и Гренадины, Сент-Китс и Невис, Сент-Люсия, Тринидад и Тобаго, Ямайка
Британская Восточная Африка;british_east_africa;Африка;+;;Бывшая колония Великобритании в Африке, территория современной Кении
Британская Западная Африка;british_west_africa;Африка;+;;Бывшая колония Великобритании в Африке, территория современных государств: Гамбия, Гана, Нигерия, Сьерра-Леоне
Британская Палестина;gb;Азия;+;;Бывшая мандатная территория Великобритании, территория современных государств: Израиль, Иордания, Палестина
Британские Виргинские острова;vg;Америка;;;Заморская территория Великобритании в Карибском бассейне
Британский Гондурас;british_honduras;Америка;+;;Бывшая колония Великобритании в Карибском бассейне, территория современного Белиза
Бруней;bn;Азия;;;
Буркина-Фасо;bf;Африка;;;
Бурунди;bi;Африка;;;
Бутан;bt;Азия;;;
Вануату;vu;Австралия и Океания;;;
Ватикан;va;Европа;;;
Великобритания;gb;Европа;;;
Венгрия;hu;Европа;;;
Венесуэла;ve;Америка;;;
Восточные Карибы;eastern_caribbean;Америка;;+;Единый эмитент валюты для восьми государств Карибского бассейна: Ангилья, Антигуа и Барбуда, Доминика, Гренада, Монтсеррат, Сент-Китс и Невис, Сент-Люсия, Сент-Винсент и Гренадины
Восточный Тимор;tl;Азия;;;
Вьетнам;vn;Азия;;;
Габон;ga;Африка;;;
Гаити;ht;Америка;;;
Гайана;gy;Америка;;;
Гамбия;gm;Африка;;;
Гана;gh;Африка;;;
Гваделупа;gp;Америка;;;Заморский департамент Франции в Карибском бассейне
Гватемала;gt;Америка;;;
Гвинея;gn;Африка;;;
Гвинея-Бисау;gw;Африка;;;
Германия;de;Европа;;;
Гернси;gg;Европа;;;Коронное владение Великобритании в проливе Ла-Манш
Гибралтар;gi;Европа;;;Заморская территория Великобритании на юге Пиренейского полуострова
Голландская Ост-Индия;nl;Азия;+;;Бывшая колония Нидерландов на островах Малайского архипелага, территория современной Индонезии
Гондурас;hn;Америка;;;
Гонконг;hk;Азия;;;Специальный административный район Китая
Гренада;gd;Америка;;;
Гренландия;gl;Америка;;;Автономная территория Датского королевства
Греция;gr;Европа;;;
Грузия;ge;Азия;;;
Гуам;gu;Австралия и Океания;;;Неинкорпорированная территория США в Тихом океане
Дания;dk;Европа;;;
ДР Конго;cd;Африка;;;
